latitude,longitude,acq_date_converted,month,label,temp_max,rain,wind_speed_ms,wind_speed_kmh,humidity,ffmc,dmc,dc,isi,bui,fwi
20.71518,39.8278,25-07-2018,7,0,36.7,0,20.3,73.08,80,85.0477,7.7755,25.31,84.3054,8.7957,44.6324
16.73671,43.05173,23-03-2018,3,0,37.7,0,28.1,101.16,63,88.0159,8.4471,21.49,527.6516,8.5209,131.0201
17.46722,42.5427,19-05-2025,5,0,36.9,0,20.1,72.36,83,85.0477,7.7007,24.046,81.3016,8.5534,43.2089
20.71698,39.8263,8/6/2021,6,0,39.5,0,23.6,84.96,71,86.7995,9.0997,25.514,196.0702,9.621,77.084
19.29069,41.74426,8/10/2019,10,0,34.2,0,16.7,60.12,91,81.7475,6.4814,21.86,28.6052,7.4446,20.2924
18.24582,42.57885,10/10/2024,10,0,26.9,0,28,100.8,32,91.7324,8.8849,20.546,881.7708,8.8483,175.3493
20.71733,39.82553,22-05-2025,5,0,38.7,0,24.7,88.92,70,86.8682,9.1434,24.37,241.7212,9.436,86.6372
21.12656,40.18609,1/7/2020,7,0,31.7,0,15.1,54.36,23,94.3923,11.9315,24.41,123.2284,11.8362,62.477
18.64068,42.72343,8/5/2025,5,0,30.1,0,19.1,68.76,57,87.7415,9.532,22.822,99.1371,9.5116,50.7405
19.29049,41.74291,5/5/2025,5,0,31.6,0.7,11.3,40.68,84,84.0174,7.3774,23.092,14.3258,8.2031,12.4763
16.73736,43.04981,26-04-2025,4,0,41.6,0,22.4,80.64,46,91.7238,11.59,23.442,318.8919,11.4895,108.0983
20.71476,39.82709,28-10-2023,10,0,32.1,0.1,30.6,110.16,90,81.8686,6.503,21.482,361.2609,7.4033,101.6695
19.31363,41.62279,16-01-2018,1,0,29,0,14.2,51.12,84,83.6269,6.5929,19.924,23.021,7.2162,17.1073
18.24763,42.57548,16-07-2023,7,0,28.6,0,21.3,76.68,59,87.1605,8.8598,23.852,135.9924,9.1877,60.9768
20.71668,39.82672,9/9/2019,9,0,40.7,0,32.6,117.36,52,90.4926,9.5721,24.03,1702.5734,9.592,253.8401
20.7159,39.82624,14-07-2023,7,0,40.2,0,23.5,84.6,63,88.431,9.5888,25.94,243.1089,9.9669,88.4252
20.71607,39.82605,30-05-2018,5,0,43.8,0,45.8,164.88,40,93.2539,13.0924,25.288,27586.4089,12.9693,1063.7781
18.97059,42.28896,10/4/2025,4,0,24.8,0,21.4,77.04,62,86.0406,8.386,20.418,118.1734,8.3736,54.2969
16.53463,43.22779,10/2/2018,2,0,31.8,0,18.9,68.04,91,81.3987,6.4206,20.428,40.9175,7.1909,25.8255
20.71626,39.82885,21-11-2017,11,0,31.8,0.1,33.4,120.24,87,83.0194,6.567,20.428,692.6522,7.2818,145.7331
19.61999,41.01917,28-11-2020,11,0,28.4,0.2,14.4,51.84,98,76.8895,6.0782,19.816,11.7717,6.8804,9.8955
16.73604,43.04887,9/12/2017,12,0,33.4,0,30.4,109.44,73,85.4164,7.0586,20.716,554.2364,7.6234,130.4783
